path,createdUtc,kind,notes
data\logs\system\2025-11-07.log,2025-11-07T15:09:42.428849800Z,LOG,created
data\logs\vehicles\aa\2025-11-07.log,2025-11-07T15:09:42.449991200Z,LOG,created
data\logs\vehicles\qq\2025-11-07.log,2025-11-07T18:24:11.449740100Z,LOG,created
data\logs\vehicles\ee\2025-11-07.log,2025-11-07T18:25:19.632216500Z,LOG,created
data\logs\vehicles\ww\2025-11-07.log,2025-11-07T18:25:38.998378500Z,LOG,created
data\logs\vehicles\Elena\2025-11-07.log,2025-11-07T18:28:59.098935400Z,LOG,created
